,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
595,MFLOUR-LA,3662LA,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,BOND,0.0,1.2,0.0,0.0,0.0,131471000.0,,,,,,,,
596,WANGZNG,7203,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.805,0.82,1.86,0.015,3000.0,131200000.0,1.053159672981597,0.002453479208021782,0.1797492797858716,2.9636140882364937e-50,0.06716415005675866,normal,0.7596409092579979,-9.102514880288126e-05
597,VIS,0120,TECHNOLOGY,SEMICONDUCTORS,ACE,0.685,0.745,9.56,0.065,5302000.0,130158000.0,0.7924092242351052,-0.007512939214179684,0.026629594881558964,3.75899941677257e-08,0.1430243171541145,normal,2.57949566189831,0.06511470840744238
598,PASDEC,6912,PROPERTY,PROPERTY,MAIN,0.315,0.325,3.17,0.01,3000.0,130120000.0,1.8114862158043172,0.03314481344426055,0.21478406882545095,6.285372126586646e-61,0.10340275828089765,normal,1.3343196419881334,0.08997271039997479
599,MUIPROP,3913,PROPERTY,PROPERTY,MAIN,0.165,0.17,6.25,0.01,212000.0,129890000.0,1.64935156925332,0.026754008399146878,0.14463387017579502,5.392072664239095e-40,0.11974512192725155,normal,1.644335168358351,-0.035455901036120174
600,PLB,7055,PROPERTY,PROPERTY,MAIN,1.12,1.15,0.0,0.0,2000.0,129254000.0,1.2161445648594158,0.008962390088853245,0.2424635436757502,1.0683401425880558e-69,0.06417521313004462,normal,0.8578341997219019,0.0
601,NWP,5025,INDUSTRIAL PRODUCTS & SERVICES,WOOD & WOOD PRODUCTS,MAIN,0.24,0.245,2.08,0.005,8718000.0,128969000.0,-0.6465043434347028,-0.06479413436025669,0.011039261524784674,0.00041813031230827723,0.18268148476675383,normal,2.504164147080847,0.059098275983123116
602,ASIABRN,7722,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.55,0.55,0.0,0.0,3000.0,127956000.0,0.4070491190697734,-0.02334776735579437,0.014716938066266545,4.548157001545029e-05,0.09943108260740492,normal,2.2143396049266166,0.04754735202619287
603,MAA,1198,FINANCIAL SERVICES,INSURANCE,MAIN,0.475,0.485,2.11,0.01,37000.0,127910000.0,0.8620537669366521,-0.005329246069138281,0.07057820415784262,1.3030907952735962e-19,0.0933918654101786,normal,1.134478649942577,-0.04213468947967858
604,EFFICEN,0064,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,0.18,0.18,0.0,0.0,50000.0,127643000.0,2.5052463595592696,0.06110377642657418,0.21426125120767217,9.141624111842445e-61,0.14322580714484912,normal,1.726431702133572,9.04128995040665e-05
605,TOMEI,7230,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,0.925,0.92,0.0,0.0,140000.0,127512000.0,-0.4251187131613886,-0.056528603754825345,0.00842997824473275,0.0020611127660641595,0.13764557716640946,normal,1.5047043835247904,-0.012842416676986712
606,CEKD,0238,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.62,0.655,5.65,0.035,4375000.0,127445000.0,0.30084756298841037,-0.027637178693479036,0.01813003097632872,5.90292581287613e-06,0.06609639680363671,normal,1.876494990598901,0.021536366337507218
607,FOCUS,0116,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",ACE,0.02,0.02,-20.0,-0.005,603000.0,127444000.0,3.9308302530031787,0.11947456394105543,0.2736647423605911,5.690437591318599e-80,0.19118199982837714,normal,3.3207727747133498,-0.42779568215126185
608,PGLOBE,3611,PROPERTY,PROPERTY,MAIN,0.165,0.17,3.03,0.005,26000.0,126926000.0,16.39234326223252,0.623285119379352,0.3809643307832849,5.473589972047027e-119,0.6238214312838454,normal,4.980098325937206,-0.17216233527937685
